"INDUSTRY_CATEGORY","TICKER"
"Health Services","A"
"Metals & Mining","AA"
"Internet","AABA"
"Health Services","AAC"
"Transportation","AAL"
"Financial Services","AAMC"
"Insurance","AAME"
"Diversified Services","AAN"
"Electronics","AAOI"
"Materials & Construction","AAON"
"Retail","AAP"
"Consumer Durables","AAPL"
"Real Estate","AAT"
"Metals & Mining","AAU"
"Energy","AAV"
"Transportation","AAWW"
"Aerospace/Defense","AAXN"
"Financial Services","AB"
"Food & Beverage","ABAC"
"Manufacturing","ABB"
"Drugs","ABBV"
"Wholesale","ABC"
"Banking","ABCB"
"Diversified Services","ABCD"
"Financial Services","ABDC"
"Drugs","ABEO"
"Drugs","ABEOW"
"Food & Beverage","ABEV"
"Specialty Retail","ABG"
"Telecommunications","ABIL"
"Drugs","ABIO"
"Diversified Services","ABM"
"Health Services","ABMD"
"Real Estate","ABR"
"Real Estate","ABRpA"
"Real Estate","ABRpB"
"Real Estate","ABRpC"
"Health Services","ABT"
"Banking","ABTX"
"Drugs","ABUS"
"Metals & Mining","ABX"
"Financial Services","AC"
"Drugs","ACAD"
"Banking","ACBI"
"Real Estate","ACC"
"Consumer NonDurables","ACCO"
"Drugs","ACER"
"Chemicals","ACET"
"Insurance","ACGL"
"Insurance","ACGLO"
"Metals & Mining","ACH"
"Health Services","ACHC"
"Drugs","ACHN"
"Drugs","ACHV"
"Telecommunications","ACIA"
"Drugs","ACIU"
"Computer Software & Services","ACIW"
"Electronics","ACLS"
"Diversified Services","ACM"
"Computer Software & Services","ACN"
"Banking","ACNB"
"Drugs","ACOR"
"Real Estate","ACRE"
"Drugs","ACRS"
"Health Services","ACRX"
"Drugs","ACST"
"Diversified Services","ACTG"
"Consumer Durables","ACU"
"Consumer NonDurables","ACV"
"Diversified Services","ACY"
"Drugs","ADAP"
"Computer Software & Services","ADBE"
"Real Estate","ADC"
"Manufacturing","ADES"
"Electronics","ADI"
"Food & Beverage","ADM"
"Drugs","ADMA"
"Drugs","ADMP"
"Drugs","ADMS"
"Metals & Mining","ADNT"
"Computer Software & Services","ADP"
"Drugs","ADRO"
"Diversified Services","ADS"
"Computer Software & Services","ADSK"
"Materials & Construction","ADSW"
"Telecommunications","ADTN"
"Health Services","ADUS"
"Drugs","ADVM"
"Financial Services","ADX"
"Drugs","ADXS"
"Drugs","ADXSW"
"Energy","AE"
"Utilities","AEE"
"Financial Services","AEF"
"Insurance","AEG"
"Materials & Construction","AEGN"
"Electronics","AEHR"
"Electronics","AEIS"
"Insurance","AEL"
"Metals & Mining","AEM"
"Health Services","AEMD"
"Retail","AEO"
"Utilities","AEP"
"Transportation","AER"
"Drugs","AERI"
"Utilities","AES"
"Health Services","AET"
"Manufacturing","AETI"
"Wholesale","AEY"
"Computer Software & Services","AEYE"
"Drugs","AEZS"
"Financial Services","AFB"
"Insurance","AFG"
"Insurance","AFH"
"Materials & Construction","AFI"
"Insurance","AFL"
"Drugs","AFMD"
"Insurance","AFSI"
"Insurance","AFSIpA"
"Insurance","AFSIpB"
"Insurance","AFSIpC"
"Insurance","AFSIpD"
"Insurance","AFSIpE"
"Insurance","AFSIpF"
"Metals & Mining","AG"
"Manufacturing","AGCO"
"Financial Services","AGD"
"Drugs","AGEN"
"Conglomerates","AGFS"
"Conglomerates","AGFSW"
"Metals & Mining","AGI"
"Drugs","AGIO"
"Drugs","AGLE"
"Financial Services","AGM"
"Financial Services","AGM.A"
"Financial Services","AGMpA"
"Financial Services","AGMpB"
"Financial Services","AGMpC"
"Drugs","AGN"
"Real Estate","AGNC"
"Real Estate","AGNCB"
"Real Estate","AGNCN"
"Insurance","AGO"
"Insurance","AGOpB"
"Utilities","AGR"
"Food & Beverage","AGRO"
"Drugs","AGRX"
"Drugs","AGTC"
"Materials & Construction","AGX"
"Computer Software & Services","AGYS"
"Media","AHC"
"Real Estate","AHH"
"Insurance","AHL"
"Insurance","AHLpC"
"Insurance","AHLpD"
"Drugs","AHPA"
"Drugs","AHPAU"
"Drugs","AHPAW"
"Health Services","AHPI"
"Real Estate","AHT"
"Real Estate","AHTpD"
"Real Estate","AHTpF"
"Real Estate","AHTpG"
"Real Estate","AHTpH"
"Real Estate","AHTpI"
"Real Estate","AI"
"Insurance","AIG"
"Insurance","AIG.WS"
"Manufacturing","AIMC"
"Drugs","AIMT"
"Manufacturing","AIN"
"Financial Services","AINC"
"Financial Services","AINV"
"Real Estate","AIpB"
"Health Services","AIPT"
"Health Services","AIQ"
"Aerospace/Defense","AIR"
"Telecommunications","AIRG"
"Aerospace/Defense","AIRI"
"Transportation","AIRT"
"Wholesale","AIT"
"Real Estate","AIV"
"Real Estate","AIVpA"
"Insurance","AIZ"
"Insurance","AIZP"
"Insurance","AJG"
"Aerospace/Defense","AJRD"
"Internet","AKAM"
"Drugs","AKAO"
"Drugs","AKBA"
"Drugs","AKCA"
"Health Services","AKER"
"Metals & Mining","AKG"
"Specialty Retail","AKO.A"
"Specialty Retail","AKO.B"
"Financial Services","AKP"
"Real Estate","AKR"
"Drugs","AKRX"
"Metals & Mining","AKS"
"Telecommunications","AKTS"
"Drugs","AKTX"
"Diversified Services","AL"
"Chemicals","ALB"
"Drugs","ALBO"
"Food & Beverage","ALCO"
"Drugs","ALDR"
"Drugs","ALDX"
"Utilities","ALE"
"Real Estate","ALEX"
"Manufacturing","ALG"
"Health Services","ALGN"
"Transportation","ALGT"
"Drugs","ALIM"
"Diversified Services","ALJJ"
"Transportation","ALK"
"Drugs","ALKS"
"Insurance","ALL"
"Diversified Services","ALLE"
