ticker,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
A,10084999291.0,3920519101.0,7268219567.0,9887814839.0,8383736599.0,9867532822.0,13611064168.0,13300336753.0,13639021312.0,14754111511.0,21683837723.0,21688560000.0
AA,,,,,,,,,,5138640000.0,9912080000.0,6703440000.0
AABA,31779300640.0,16973006000.0,23754741240.0,22693497560.0,20683208660.0,23937829400.0,43303596840.0,50717495080.0,31235829660.0,36730428810.0,67277354650.0,59591266030.0
AAC,,,,,,,,513865046.0,412863597.0,164479167.0,209496996.0,166510465.0
AAL,,1927166892.0,1366557267.0,3201204767.0,608556629.0,3234610973.0,6794927170.0,37996292784.0,28340737304.0,25563998368.0,25405265847.0,14672636440.0
AAMC,,,,,,,2182703490.0,878318143.0,37800305.0,93748157.0,128146925.0,81844510.0
AAME,,,,45591403.0,41023936.0,63179293.0,84192642.0,82508670.0,103166708.0,82279991.0,69604969.0,56679084.0
AAN,,,,1639654034.0,2082070910.0,2136800352.0,2212679057.0,2186706155.0,1610325632.0,2302925881.0,2817499499.0,3547871145.0
AAOI,,,,,,,149573975.0,170397702.0,283703706.0,415191032.0,761660951.0,461833146.0
AAON,,,309078507.0,443201393.0,479684362.0,493485691.0,1140832188.0,1204436573.0,1240180963.0,1745508192.0,1938590312.0,1684596884.0
AAP,,,3767884329.0,5508978629.0,5290309181.0,5299566563.0,8058449922.0,11619665441.0,11046922624.0,12447432891.0,7378274302.0,12266593680.0
AAPL,156114737396.0,68239505893.0,171780853974.0,266761236934.0,337961670784.0,450713809924.0,463547869721.0,607602383401.0,560469031154.0,600426798492.0,862942318770.0,1093263803190.0
AAT,,,,,925199060.0,1371684626.0,1598950916.0,2165093640.0,2221726580.0,2595408472.0,2396515211.0,2313901322.0
AAWW,,,812720500.0,1456493040.0,1015397460.0,1176651680.0,1054551050.0,1238761100.0,1034244120.0,1310008000.0,1516337100.0,1364404050.0
AAXN,,,271210012.0,293864896.0,304312320.0,489223620.0,859933760.0,1443160000.0,944691020.0,1297712640.0,1428297000.0,3337373730.0
