"MARKETCAP","NAME","TICKER"
"21701520000","Agilent Technologies Inc","A"
"6727620000","Alcoa Corp","AA"
"56373414718","Altaba Inc","AABA"
"169171249","AAC Holdings Inc","AAC"
"14751621500","American Airlines Group Inc","AAL"
"85456246","Altisource Asset Management Corp","AAMC"
"53697042","Atlantic American Corp","AAME"
"3528390970","Aaron's Inc","AAN"
"428195629","Applied Optoelectronics Inc","AAOI"
"1738105437","AAON Inc","AAON"
"12173417460","Advance Auto Parts Inc","AAP"
"1065921123240","Apple Inc","AAPL"
"2370979264","American Assets Trust Inc","AAT"
"1374374400","Atlas Air Worldwide Holdings Inc","AAWW"
"3287451480","Axon Enterprise Inc","AAXN"
"2893111200","AllianceBernstein Holding LP","AB"
"15204000","Renmin Tianli Group Inc","ABAC"
"147060600000","AbbVie Inc","ABBV"
"20157595600","AmerisourceBergen Corp","ABC"
"1714720725","Ameris Bancorp","ABCB"
"569491450","Cambium Learning Group Inc","ABCD"
"470812680","Abeona Therapeutics Inc","ABEO"
"470812680","Abeona Therapeutics Inc","ABEOW"
"1269155000","Asbury Automotive Group Inc","ABG"
"8249910","ARCA Biopharma Inc","ABIO"
"2154087000","ABM Industries Inc","ABM"
"17418871165","Abiomed Inc","ABMD"
"1050340464","Arbor Realty Trust Inc","ABR"
"1050340464","Arbor Realty Trust Inc","ABRpA"
"1050340464","Arbor Realty Trust Inc","ABRpB"
"1050340464","Arbor Realty Trust Inc","ABRpC"
"122287513500","Abbott Laboratories","ABT"
"552404150","Allegiance Bancshares Inc","ABTX"
"257864159","Arbutus Biopharma Corp","ABUS"
"988516400","Associated Capital Group Inc","AC"
"2511784000","ACADIA Pharmaceuticals Inc","ACAD"
"436230433","Atlantic Capital Bancshares Inc","ACBI"
"5648885588","American Campus Communities Inc","ACC"
"1141560000","ACCO Brands Corp","ACCO"
"210140000","Acer Therapeutics Inc","ACER"
"80116400","Aceto Corp","ACET"
"11614621529","Arch Capital Group Ltd","ACGL"
"11614621529","Arch Capital Group Ltd","ACGLO"
"3196918850","Acadia Healthcare Company Inc","ACHC"
"432766000","Achillion Pharmaceuticals Inc","ACHN"
"3540000","Achieve Life Sciences Inc","ACHV"
"1458307260","Acacia Communications Inc","ACIA"
"2917009260","ACI Worldwide Inc","ACIW"
"588554280","Axcelis Technologies Inc","ACLS"
"5211391090","AECOM","ACM"
"187176842","ACM Research Inc","ACMR"
"106490332230","Accenture PLC","ACN"
"261359055","ACNB Corp","ACNB"
"786604665","Acorda Therapeutics Inc","ACOR"
"394360284","Ares Commercial Real Estate Corp","ACRE"
"404790000","Aclaris Therapeutics Inc","ACRS"
"162843000","AcelRx Pharmaceuticals Inc","ACRX"
"154694990","Acacia Research Corp","ACTG"
"76031520","Acme United Corp","ACU"
"1813840220","AllianzGI Diversified Income & Convertible Fund","ACV"
"20655471","AeroCentury Corp","ACY"
"6845769000","Adaptimmune Therapeutics PLC","ADAP"
"118418073780","Adobe Systems Inc","ADBE"
"1654153269","Agree Realty Corp","ADC"
"228304475","Advanced Emissions Solutions Inc","ADES"
"31572218150","Analog Devices Inc","ADI"
"28505925000","Archer Daniels Midland Co","ADM"
"239970000","ADMA Biologics Inc","ADMA"
"97150000","Adamis Pharmaceuticals Corp","ADMP"
"459000000","Adamas Pharmaceuticals Inc","ADMS"
"2963731000","Adient PLC","ADNT"
"35407600","Adomani Inc","ADOM"
"62864373000","Automatic Data Processing Inc","ADP"
"509189000","Aduro Biotech Inc","ADRO"
"12273870000","Alliance Data Systems Corp","ADS"
"29300010000","Autodesk Inc","ADSK"
"2357699032","Advanced Disposal Services Inc","ADSW"
"6515148000","ADT Inc","ADT"
"817687140","ADTRAN Inc","ADTN"
"795631980","Addus Homecare Corp","ADUS"
"319770000","Adverum Biotechnologies Inc","ADVM"
"42096090","Advaxis Inc","ADXS"
"42096090","Advaxis Inc","ADXSW"
"168424740","Adams Resources & Energy Inc","AE"
"16247380000","Ameren Corp","AEE"
"759270197","Aegion Corp","AEGN"
"42488430","AEHR Test Systems","AEHR"
"1834410960","Advanced Energy Industries Inc","AEIS"
"3209083016","American Equity Investment Life Holding Co","AEL"
"21516150","Aethlon Medical Inc","AEMD"
"3798586400","American Eagle Outfitters Inc","AEO"
"36018468629","American Electric Power Company Inc","AEP"
"2031417000","Aerie Pharmaceuticals Inc","AERI"
"9857080000","AES Corp","AES"
"66874478000","Aetna Inc","AET"
"6425210","American Electric Technologies Inc","AETI"
"13782408","ADDvantage Technologies Group Inc","AEY"
"9963395000","American Financial Group Inc","AFG"
"115817458","Atlas Financial Holdings Inc","AFH"
"451473377","Armstrong Flooring Inc","AFI"
"36245806200","Aflac Inc","AFL"
"2807794000","AmTrust Financial Services Inc","AFSI"
"2807794000","AmTrust Financial Services Inc","AFSIpA"
"2807794000","AmTrust Financial Services Inc","AFSIpB"
"2807794000","AmTrust Financial Services Inc","AFSIpC"
"2807794000","AmTrust Financial Services Inc","AFSIpD"
"2807794000","AmTrust Financial Services Inc","AFSIpE"
"2807794000","AmTrust Financial Services Inc","AFSIpF"
"4606688000","AGCO Corp","AGCO"
"188736000","Agenus Inc","AGEN"
"305676345","AgroFresh Solutions Inc","AGFS"
"305676345","AgroFresh Solutions Inc","AGFSW"
"3696888000","Agios Pharmaceuticals Inc","AGIO"
"181425000","Aeglea Bio Therapeutics Inc","AGLE"
"759542370","Federal Agricultural Mortgage Corp","AGM"
"759542370","Federal Agricultural Mortgage Corp","AGM.A"
"759542370","Federal Agricultural Mortgage Corp","AGMpA"
"759542370","Federal Agricultural Mortgage Corp","AGMpB"
"759542370","Federal Agricultural Mortgage Corp","AGMpC"
"63822011000","Allergan plc","AGN"
"7323990000","AGNC Investment Corp","AGNC"
"7323990000","AGNC Investment Corp","AGNCB"
"7323990000","AGNC Investment Corp","AGNCN"
"4661241000","Assured Guaranty Ltd","AGO"
"14618764365","Avangrid Inc","AGR"
"21512940","Agile Therapeutics Inc","AGRX"
"114966750","Applied Genetic Technologies Corp","AGTC"
"676133220","Argan Inc","AGX"
"335916000","Agilysys Inc","AGYS"
"79922000","A. H. Belo Corp","AHC"
"691216400","Armada Hoffler Properties Inc","AHH"
"2493978033","Aspen Insurance Holdings Ltd","AHL"
"2493978033","Aspen Insurance Holdings Ltd","AHLpC"
"2493978033","Aspen Insurance Holdings Ltd","AHLpD"
"8709375","Allied Healthcare Products Inc","AHPI"
"570315000","Ashford Hospitality Trust Inc","AHT"
"570315000","Ashford Hospitality Trust Inc","AHTpD"
"570315000","Ashford Hospitality Trust Inc","AHTpF"
"570315000","Ashford Hospitality Trust Inc","AHTpG"
"570315000","Ashford Hospitality Trust Inc","AHTpH"
"570315000","Ashford Hospitality Trust Inc","AHTpI"
"246132250","Arlington Asset Investment Corp","AI"
"48275872574","American International Group Inc","AIG"
"48275872574","American International Group Inc","AIG.WS"
"1158469425","Altra Industrial Motion Corp","AIMC"
"1431537000","Aimmune Therapeutics Inc","AIMT"
"2318330955","Albany International Corp","AIN"
"170981250","Ashford Inc","AINC"
"246132250","Arlington Asset Investment Corp","AIpB"
"10928211","Precision Therapeutics Inc","AIPT"
"142857000","Alliance HealthCare Services Inc","AIQ"
"1525168000","AAR Corp","AIR"
"114778544","Airgain Inc","AIRG"
"35989540","Air Industries Group","AIRI"
"77217043","Air T Inc","AIRT"
"2849822080","Applied Industrial Technologies Inc","AIT"
"6860659585","Apartment Investment and Management Co","AIV"
"6860659585","Apartment Investment and Management Co","AIVpA"
"6068309316","Assurant Inc","AIZ"
"6068309316","Assurant Inc","AIZP"
"13435584000","Arthur J Gallagher & Co","AJG"
"2342369000","Aerojet Rocketdyne Holdings Inc","AJRD"
"10808818110","Akamai Technologies Inc","AKAM"
"180025085","Achaogen Inc","AKAO"
"480244000","Akebia Therapeutics Inc","AKBA"
"33532620","Akers Biosciences Inc","AKER"
"2271990959","Acadia Realty Trust","AKR"
"803378120","Akorn Inc","AKRX"
"1439752500","AK Steel Holding Corp","AKS"
"127490000","Akoustis Technologies Inc","AKTS"
"2342196600","Akari Therapeutics PLC","AKTX"
"4818517585","Air Lease Corp","AL"
"10603345380","Albemarle Corp","ALB"
"335160000","Albireo Pharma Inc","ALBO"
"278854000","Alico Inc","ALCO"
"932280000","Alder Biopharmaceuticals Inc","ALDR"
"239138300","Aldeyra Therapeutics Inc","ALDX"
"3984812500","ALLETE Inc","ALE"
"1495887000","Alexander & Baldwin Inc","ALEX"
"1070186590","Alamo Group Inc","ALG"
"25764389040","Align Technology Inc","ALGN"
"1828572600","Allegiant Travel Co","ALGT"
"63344990","Alimera Sciences Inc","ALIM"
"60612926","ALJ Regional Holdings Inc","ALJJ"
"7495495480","Alaska Air Group Inc","ALK"
"6616525000","Alkermes Plc","ALKS"
"34559316000","Allstate Corp","ALL"
"8119308000","Allegion PLC","ALLE"
"34559316000","Allstate Corp","ALLpA"
"34559316000","Allstate Corp","ALLpD"
"34559316000","Allstate Corp","ALLpE"
"34559316000","Allstate Corp","ALLpF"
"34559316000","Allstate Corp","ALLpG"
"11420254560","Ally Financial Inc","ALLY"
"211047000","Allena Pharmaceuticals Inc","ALNA"
"8142354000","Alnylam Pharmaceuticals Inc","ALNY"
"146607916","AstroNova Inc","ALOT"
"73809000","Alpine Immune Sciences Inc","ALPN"
"9460000","Alliqua BioMedical Inc","ALQA"
"2243702999","Alarm.com Holdings Inc","ALRM"
"38924000","Aileron Therapeutics Inc","ALRN"
"89992960","Alaska Communications Systems Group Inc","ALSK"
"6713400000","Allison Transmission Holdings Inc","ALSN"
"4383162","Altimmune Inc","ALT"
"2628131710","Altair Engineering Inc","ALTR"
"7023464000","Autoliv Inc","ALV"
"1769241000","Alexander's Inc","ALX"
"27626886000","Alexion Pharmaceuticals Inc","ALXN"
"6402529240","Antero Midstream Partners LP","AM"
"754626000","AMAG Pharmaceuticals Inc","AMAG"
"34692600000","Applied Materials Inc","AMAT"
"1058029991","Ambarella Inc","AMBA"
"898128920","Ambac Financial Group Inc","AMBC"
"898128920","Ambac Financial Group Inc","AMBCW"
"247375500","Amber Road Inc","AMBR"
"2414138725","AMC Entertainment Holdings Inc","AMC"
"3363675070","AMC Networks Inc","AMCX"
"28675000000","Advanced Micro Devices Inc","AMD"
"1508000","Amedica Corp","AMDA"
"17403956200","Ametek Inc","AME"
"4006120590","Amedisys Inc","AMED"
"6919172000","Affiliated Managers Group Inc","AMG"
"132831600000","Amgen Inc","AMGN"
"6338760000","American Homes 4 Rent","AMH"
"6338760000","American Homes 4 Rent","AMHpD"
"6338760000","American Homes 4 Rent","AMHpE"
"6338760000","American Homes 4 Rent","AMHpF"
"6338760000","American Homes 4 Rent","AMHpG"
"223560000","American Midstream Partners LP","AMID"
"1595895620","Amkor Technology Inc","AMKR"
"4183200","Alliance MMA Inc","AMMA"
"2521672080","AMN Healthcare Services Inc","AMN"
"326731890","American National Bankshares Inc","AMNB"
"423733240","Allied Motion Technologies Inc","AMOT"
"21216142500","Ameriprise Financial Inc","AMP"
"45885840","Ampio Pharmaceuticals Inc","AMPE"
"870150330","Amphastar Pharmaceuticals Inc","AMPH"
"506503125","Silver Run Acquisition Corporation II","AMR"
"90571770","American River Bankshares","AMRB"
"574506280","Ameresco Inc","AMRC"
"91895170","A-Mark Precious Metals Inc","AMRK"
"538065461","Amyris Inc","AMRS"
"506503125","Silver Run Acquisition Corporation II","AMRWW"
